crossing time (s)	slope (V/s)	crossing number
5899.594526	-143.622987	5119
5900.622199	-148.595254	5120
5901.657284	-142.571197	5121
5902.704236	-148.737223	5122
5903.734667	-142.829154	5123
5904.765619	-142.426219	5124
5905.807759	-149.055844	5125
5906.841817	-148.200619	5126
5907.888007	-148.124024	5127
5908.899109	-142.112420	5128
5909.936074	-142.868564	5129
5910.957988	-141.265740	5130
5912.020549	-143.157562	5131
5913.036180	-139.745108	5132
5914.110003	-145.589024	5133
5915.118154	-148.708470	5134
5916.167363	-143.452992	5135
5917.183074	-147.346342	5136
5918.228768	-148.050530	5137
5919.259379	-144.648989	5138
5920.294584	-141.956126	5139
5921.314131	-141.382700	5140
5922.378866	-147.981806	5141
5923.384711	-141.220373	5142
5924.443277	-141.219077	5143
5925.448829	-141.325659	5144
5926.511841	-142.006195	5145
5927.553876	-144.154776	5146
5928.567134	-141.925330	5147
5929.599435	-145.455963	5148
5930.631941	-146.009952	5149
5931.669834	-140.143897	5150
5932.720004	-147.769956	5151
5933.729344	-142.747359	5152
5934.786442	-147.471490	5153
5935.828035	-139.785327	5154
5936.855966	-149.929079	5155
5937.889671	-146.283367	5156
5938.930030	-141.528644	5157
5939.957710	-139.446883	5158
5940.987119	-147.636770	5159
5942.040048	-144.883383	5160
5943.071109	-146.523966	5161
5944.118446	-143.767409	5162
5945.138474	-141.218796	5163
5946.174628	-144.724884	5164
5947.210016	-140.891413	5165
5948.209399	-141.473406	5166
5949.270675	-140.845543	5167
5950.300755	-144.702980	5168
5951.346125	-143.499482	5169
5952.373595	-140.061585	5170
5953.415042	-140.596067	5171
5954.467747	-143.067441	5172
5955.483184	-145.836061	5173
5956.537811	-144.502097	5174
5957.562178	-146.002328	5175
5958.602931	-143.777359	5176
5959.642024	-140.602235	5177
5960.665101	-138.337713	5178
5961.723421	-142.747054	5179
5962.714763	-142.659302	5180
5963.782143	-140.088861	5181
5964.806372	-142.087674	5182
5965.836847	-144.581995	5183
5966.856738	-142.798795	5184
5967.904464	-140.164586	5185
5968.949542	-141.546420	5186
5969.999980	-145.075302	5187
5971.015191	-137.970864	5188
5972.060908	-144.629143	5189
5973.074103	-143.083142	5190
5974.125171	-139.003646	5191
5975.143972	-138.264382	5192
5976.207982	-143.311827	5193
5977.234544	-143.126993	5194
5978.262437	-143.868410	5195
5979.300569	-142.386373	5196
5980.326541	-146.124393	5197
5981.353900	-137.586925	5198
5982.395339	-143.619205	5199
5983.450269	-138.611176	5200
5984.471996	-138.204014	5201
5985.474003	-142.521922	5202
5986.553781	-138.666438	5203
5987.549998	-135.580109	5204
5988.632510	-140.924511	5205
5989.631499	-137.938500	5206
5990.677501	-144.097091	5207
5991.712161	-140.759632	5208
5992.743223	-144.310047	5209
5993.791195	-140.808164	5210
5994.826675	-143.397101	5211
5995.859524	-141.466156	5212
5996.895778	-138.061679	5213
5997.936627	-140.299477	5214
5998.964496	-137.674639	5215
6000.006707	-141.636249	5216
6001.038954	-139.359646	5217
6002.066404	-136.472129	5218
6003.110589	-137.388737	5219
6004.128140	-134.879841	5220
6005.179716	-141.894566	5221
6006.197011	-135.531898	5222
6007.255928	-140.523612	5223
6008.259752	-135.020580	5224
