crossing time (s)	slope (V/s)	crossing number
7800.167615	-144.413681	6938
7801.225678	-138.200167	6939
7802.250293	-136.400781	6940
7803.302710	-144.835480	6941
7804.329063	-139.443829	6942
7805.365823	-137.832587	6943
7806.395284	-139.858013	6944
7807.420116	-143.841777	6945
7808.467349	-143.781122	6946
7809.508257	-142.786796	6947
7810.551358	-139.777463	6948
7811.568911	-143.733420	6949
7812.601325	-138.740461	6950
7813.633338	-143.099922	6951
7814.662149	-139.462890	6952
7815.727041	-144.339406	6953
7816.738371	-138.473580	6954
7817.786669	-138.524014	6955
7818.816399	-143.020105	6956
7819.861131	-142.636541	6957
7820.889344	-140.671448	6958
7821.921018	-142.396426	6959
7822.948655	-142.991545	6960
7824.002320	-142.852560	6961
7825.029421	-141.281440	6962
7826.060657	-139.819953	6963
7827.097452	-143.401290	6964
7828.151556	-142.331306	6965
7829.170087	-143.406102	6966
7830.202991	-145.266520	6967
7831.237995	-141.965016	6968
7832.276949	-137.916088	6969
7833.297169	-137.622845	6970
7834.337932	-142.643515	6971
7835.348260	-140.507820	6972
7836.409242	-143.146906	6973
7837.442667	-137.094206	6974
7838.485431	-142.865705	6975
7839.516914	-141.836051	6976
7840.548576	-137.155638	6977
7841.564946	-140.039403	6978
7842.632801	-142.299531	6979
7843.661542	-136.830766	6980
7844.687905	-136.814386	6981
7845.745113	-139.219521	6982
7846.775313	-136.637247	6983
7847.787156	-137.618203	6984
7848.834967	-136.693758	6985
7849.856433	-138.672853	6986
7850.910218	-136.292348	6987
7851.922609	-140.677059	6988
7852.990054	-141.676636	6989
7854.006225	-141.381981	6990
7855.038517	-141.620732	6991
7856.075265	-140.939990	6992
7857.103080	-136.312444	6993
7858.160112	-140.871598	6994
7859.196370	-138.580576	6995
7860.218616	-139.323044	6996
7861.259862	-141.819581	6997
7862.299937	-136.419051	6998
7863.335942	-138.253258	6999
7864.355235	-139.756096	7000
7865.390480	-141.079842	7001
7866.414500	-139.871172	7002
7867.438514	-139.563760	7003
7868.485336	-136.061100	7004
7869.531832	-136.065028	7005
7870.575648	-139.789317	7006
7871.608454	-135.463842	7007
7872.642850	-135.663536	7008
7873.675821	-139.062404	7009
7874.714856	-139.238131	7010
7875.750278	-135.846226	7011
7876.757756	-134.813842	7012
7877.813746	-139.428028	7013
7878.817997	-136.523826	7014
7879.877275	-135.263404	7015
7880.909664	-139.742157	7016
7881.941109	-139.588233	7017
7882.977651	-140.126084	7018
7884.022907	-138.487320	7019
7885.048516	-135.158286	7020
7886.097576	-138.437636	7021
7887.129608	-139.348891	7022
7888.175515	-137.860472	7023
7889.189284	-135.976054	7024
7890.235739	-139.268852	7025
7891.251355	-134.435961	7026
7892.307564	-139.275266	7027
7893.325475	-135.702589	7028
7894.390875	-134.555307	7029
7895.406019	-139.075545	7030
7896.453054	-139.070015	7031
7897.469183	-133.693641	7032
7898.447545	-134.783467	7033
7899.524601	-134.769350	7034
7900.600300	-134.403744	7035
7901.606952	-137.701097	7036
7902.662818	-138.442308	7037
7903.671712	-133.325744	7038
7904.718771	-138.250411	7039
7905.741258	-136.348948	7040
7906.785973	-135.562820	7041
7907.839521	-134.271538	7042
7908.883802	-137.998937	7043
7909.901502	-133.309677	7044
7910.953906	-135.778530	7045
7911.959731	-132.689803	7046
7913.010208	-138.071793	7047
7914.045845	-136.877321	7048
7915.066521	-132.596591	7049
7916.111144	-137.825035	7050
7917.161322	-138.206263	7051
7918.181625	-136.886579	7052
7919.221647	-137.927515	7053
7920.256701	-132.632026	7054
7921.285404	-137.230640	7055
7922.318939	-136.652844	7056
7923.359444	-134.580271	7057
7924.391491	-137.194796	7058
7925.438896	-136.541698	7059
7926.457113	-137.724436	7060
7927.506593	-131.971100	7061
7928.515059	-132.321414	7062
7929.553872	-134.694557	7063
7930.582250	-132.494743	7064
7931.629299	-131.571500	7065
7932.664366	-131.869193	7066
7933.719166	-132.181565	7067
7934.740710	-132.238367	7068
7935.783295	-132.282552	7069
7936.804004	-133.444816	7070
7937.834745	-133.317969	7071
7938.875365	-130.529414	7072
7939.911033	-131.616178	7073
7940.947216	-131.130112	7074
7941.991059	-132.462045	7075
7943.006500	-134.602811	7076
7944.063852	-131.623705	7077
7945.089064	-131.200883	7078
7946.124289	-135.821754	7079
7947.148716	-131.095552	7080
7948.198115	-132.966262	7081
7949.222492	-134.375840	7082
7950.268773	-131.479457	7083
7951.298117	-131.034527	7084
7952.352101	-135.270522	7085
7953.349640	-133.461201	7086
7954.412307	-131.818873	7087
7955.429048	-130.909849	7088
7956.481070	-134.823926	7089
7957.515080	-131.193749	7090
7958.551644	-134.174793	7091
7959.573262	-134.761516	7092
7960.629949	-134.417520	7093
7961.651832	-135.422645	7094
7962.688662	-130.194868	7095
7963.734015	-134.465858	7096
