time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
2297.692566	36.446415	1.537249	0.120018	193
2299.762791	36.332466	1.537476	0.120288	195
2301.832441	36.338982	1.533312	0.121910	197
2303.901459	36.542610	1.531336	0.123222	199
2305.970098	37.059219	1.533819	0.125309	201
2308.037890	37.959354	1.531315	0.125822	203
2310.106806	38.605358	1.523063	0.125566	205
2312.177749	38.267124	1.515305	0.123688	207
2314.250614	37.270123	1.513580	0.123687	209
2316.322778	36.689247	1.516379	0.125504	211
2318.391657	36.984070	1.516903	0.127947	213
2320.459005	38.128593	1.516948	0.129204	215
2322.526566	38.955677	1.503353	0.128150	217
2324.597290	38.917767	1.495252	0.126548	219
2326.668791	38.220856	1.495225	0.126894	221
2328.741111	37.699123	1.498352	0.127510	223
2330.812014	37.490578	1.497248	0.128759	225
2332.882494	37.518814	1.497685	0.129846	227
2334.952784	37.693516	1.495324	0.130565	229
2337.022519	37.904892	1.493050	0.131932	231
2339.092693	38.061630	1.491888	0.132105	233
2341.163048	38.090649	1.490393	0.131973	235
2343.232576	38.279694	1.492823	0.133557	237
2345.302369	38.436565	1.493465	0.133283	239
2347.370322	38.608379	1.494389	0.134433	241
2349.438303	38.892124	1.489309	0.135001	243
2351.506872	39.294964	1.480596	0.136528	245
2353.576573	39.366112	1.475413	0.138125	247
2355.647996	39.336910	1.475141	0.139572	249
2357.720463	39.182171	1.474553	0.140094	251
2359.792249	39.169956	1.476657	0.139434	253
2361.862345	39.145329	1.481960	0.138650	255
2363.930776	39.210087	1.482644	0.139292	1
2365.998637	39.446651	1.478200	0.139994	3
2368.067087	39.744846	1.470736	0.141063	5
2370.136381	40.079308	1.464813	0.142513	7
2372.205822	40.297512	1.460842	0.143139	9
2374.276015	40.484440	1.460315	0.143801	11
2376.346008	40.624649	1.457963	0.144232	13
2378.415708	40.757439	1.456064	0.144785	15
2380.485785	40.931080	1.454803	0.145162	17
2382.555423	41.114876	1.453785	0.145575	19
2384.625958	41.010994	1.451313	0.145519	21
2386.696698	40.780445	1.450000	0.145128	23
2388.768620	40.345669	1.449660	0.144974	25
2390.840234	39.883076	1.448451	0.145393	27
2392.911373	39.715069	1.448537	0.146413	29
2394.980931	39.785641	1.449243	0.148565	31
2397.049188	40.308620	1.450510	0.149998	33
2399.117016	41.099258	1.450101	0.150855	35
2401.185392	41.811684	1.445686	0.150952	37
2403.254754	42.104130	1.441067	0.150575	39
2405.325073	41.995518	1.435987	0.149989	41
2407.396165	41.667603	1.434051	0.149800	43
2409.467198	41.376858	1.434716	0.150230	45
2411.538271	41.153328	1.435127	0.150524	47
2413.608631	41.173698	1.433122	0.150754	49
2415.678927	41.253067	1.428495	0.151120	51
2417.748730	41.430981	1.431099	0.153567	53
2419.818235	41.404610	1.428688	0.150546	55
2421.887369	41.611477	1.427806	0.150718	57
2423.956241	41.989216	1.421388	0.152296	59
2426.024914	42.106838	1.423470	0.155055	61
2428.093900	42.534340	1.415760	0.153898	63
2430.163553	42.657814	1.410774	0.154383	65
2432.234290	42.631706	1.409358	0.155416	67
2434.305869	42.485298	1.409951	0.156044	69
2436.377666	42.325623	1.410290	0.156399	71
2438.449050	42.248672	1.410976	0.156205	73
2440.519639	42.207932	1.411657	0.155630	75
2442.589335	42.257484	1.413196	0.155519	77
2444.658152	42.385742	1.412654	0.156283	79
2446.726821	42.582077	1.408619	0.156368	81
2448.795627	42.846523	1.403989	0.156885	83
2450.864602	43.084190	1.396973	0.157009	85
2452.933892	43.356564	1.393694	0.157770	87
2455.003754	43.485722	1.390773	0.157842	89
2457.073576	43.600105	1.389656	0.158401	91
2459.143697	43.592152	1.389058	0.158927	93
2461.214275	43.606281	1.389296	0.159029	95
2463.285093	43.384689	1.387618	0.159019	97
2465.356087	43.256046	1.387788	0.159346	99
2467.426973	43.010773	1.386857	0.159710	101
2469.497803	42.933788	1.385651	0.160400	103
2471.567829	42.924118	1.382704	0.160903	105
2473.637159	43.152809	1.383376	0.162463	107
2475.705678	43.536427	1.382632	0.163418	109
2477.773814	44.148457	1.381177	0.164013	111
2479.842146	44.744194	1.378219	0.164276	113
2481.910979	45.186417	1.374339	0.164281	115
2483.980438	45.395630	1.371409	0.164130	117
2486.050432	45.439426	1.367732	0.164263	119
2488.120609	45.329433	1.365937	0.164353	121
2490.191113	45.207687	1.366475	0.164226	123
2492.261487	45.089848	1.366124	0.165020	125
2494.331475	45.158897	1.365943	0.165121	127
2496.401549	45.200729	1.366212	0.165599	129
2498.471085	45.306953	1.364033	0.165849	131
2500.540427	45.465302	1.362044	0.166601	133
2502.609881	45.639729	1.359758	0.167135	135
2504.679304	45.888382	1.356173	0.167339	137
2506.748952	45.959969	1.352791	0.167607	139
2508.819198	46.017689	1.350592	0.167794	141
2510.889778	45.974113	1.348671	0.168184	143
2512.960810	45.827530	1.347539	0.168256	145
2515.032156	45.666595	1.346258	0.168475	147
2517.103440	45.492325	1.345354	0.168565	149
2519.174397	45.463806	1.343186	0.168145	151
2521.244729	45.478798	1.343507	0.168082	153
2523.314558	45.517384	1.342467	0.167845	155
2525.383989	45.633366	1.343082	0.168257	157
2527.452938	45.743786	1.343099	0.168369	159
2529.522459	45.936928	1.341478	0.168432	161
2531.591649	46.093620	1.337317	0.168814	163
2533.661098	46.241596	1.335181	0.168935	165
2535.730746	46.344406	1.332292	0.169446	167
2537.800656	46.408852	1.329868	0.169599	169
2539.870995	46.417446	1.327471	0.169774	171
2541.941260	46.407627	1.326532	0.170157	173
2544.011766	46.320999	1.323940	0.170229	175
2546.082167	46.291779	1.322057	0.170372	177
2548.152323	46.296135	1.320135	0.170988	179
2550.222319	46.352180	1.317787	0.171714	181
2552.291579	46.471859	1.317284	0.172593	183
2554.360775	46.766331	1.318071	0.173425	185
2556.429488	47.144344	1.319461	0.174540	187
2558.497962	47.585957	1.317562	0.174833	189
2560.566709	48.041199	1.316552	0.175051	191
2562.635650	48.429070	1.313989	0.175377	193
2564.704553	48.711399	1.310823	0.175217	195
2566.774043	48.888031	1.306282	0.174797	197
2568.843944	48.993782	1.302632	0.174322	199
2570.913801	49.009655	1.300708	0.174434	201
2572.983768	49.005051	1.299445	0.174382	203
2575.053532	49.077984	1.299089	0.174573	205
2577.123471	49.133286	1.297871	0.174876	207
2579.193220	49.251335	1.295833	0.175470	209
2581.262794	49.352871	1.294295	0.175745	211
2583.332473	49.450233	1.294126	0.175966	213
2585.402448	49.484421	1.292239	0.176115	215
2587.472607	49.491909	1.292026	0.176602	217
2589.542995	49.457260	1.290511	0.176469	219
2591.613547	49.393856	1.290859	0.176916	221
2593.684380	49.274845	1.289502	0.177149	223
2595.755465	49.187431	1.288422	0.176842	225
2597.826359	49.039993	1.287090	0.176940	227
2599.897049	48.971626	1.285060	0.176295	229
2601.967685	48.950569	1.283853	0.176044	231
